,collectionName,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,total_volume,total_sales,total_supply,num_owners,average_price,market_cap,floor_price
778,akc,2.0460000000000003,0.6302788844621514,9.0,0.22733333333333336,10.025849989999998,0.11464121823903126,71.0,0.14120915478873236,10982.792069794132,20076.0,9999.0,4947.0,0.5470607725540014,1411.9503387325349,0.0
779,wearesatoshisnft,0.0,0.0,0.0,0.0,0.03,-0.957325746799431,1.0,0.03,21.508649999999893,245.0,1024.0,362.0,0.08779040816326487,30.72,0.0
780,sers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.720249999999998,87.0,1244.0,589.0,0.08873850574712641,0.0,0.0
781,supergeisha,0.0,-1.0,0.0,0.0,1.4762900000000003,-0.18161206275292416,40.0,0.03690725000000001,738.820605282182,6119.0,6776.0,2007.0,0.12074205021771237,250.08352600000006,0.0
782,hammys,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,227.91395647068327,1819.0,1000.0,431.0,0.1252962927271486,0.0,0.0
783,isotile_genesis_avatars,0.04,-0.7626112759643917,1.0,0.04,0.55669,-0.45999611989523725,9.0,0.06185444444444445,284.8916574709949,2828.0,7587.0,986.0,0.10073962428253003,469.28967,0.0
784,m101survivors,0.0,-1.0,0.0,0.0,0.005,-0.9575551782682513,1.0,0.005,87.3598169899999,1080.0,3101.0,1127.0,0.0808887194351851,15.505,0.0
785,enlightened_apez_saturn_club,0.0,-1.0,0.0,0.0,0.04,0.0,1.0,0.04,4.467229999999996,138.0,1701.0,536.0,0.032371231884057945,68.04,0.0
786,dogedash,0.097,-0.6072874493927125,2.0,0.0485,1.2040000000000002,-0.45148063781321185,22.0,0.054727272727272736,323.74460709392224,1249.0,4120.0,1544.0,0.2592030481136287,225.47636363636366,0.0
787,wavelengthbykalebjohnston,0.269,0.0,1.0,0.269,1.709,-0.7410213668737687,5.0,0.3418,2314.7698194398345,1671.0,1111.0,690.0,1.3852602151046287,379.7398,0.0
788,1989_sisters,0.0,-1.0,0.0,0.0,2.515,-0.0248158200853044,7.0,0.3592857142857143,1687.2637747347328,1647.0,1989.0,741.0,1.0244467363295282,714.6192857142858,0.0
789,mutant_ape_kids_club_m2,0.0,-1.0,0.0,0.0,0.08,1.7681660899653981,2.0,0.04,3.731736000000001,61.0,5010.0,216.0,0.061176000000000015,200.4,0.0
790,makc_mutant_buddies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894888999998988,159.0,3333.0,594.0,0.01191754088049678,0.0,0.0
791,hungry_runtz,0.0,0.0,0.0,0.0,0.001,-0.3333333333333333,2.0,0.0005,1.3677999999999984,91.0,6498.0,1152.0,0.015030769230769212,3.249,0.0
792,bored_ape_teen_club_official,0.0,-1.0,0.0,0.0,0.12878,-0.7506679574056146,5.0,0.025756,51.579649838810006,540.0,2408.0,862.0,0.09551787007187038,62.020448,0.0
793,makc_m1,0.039,0.30000000000000004,2.0,0.0195,0.3600000000000001,0.29032258064516153,10.0,0.03600000000000001,1744.9311334711938,7639.0,3000.0,1651.0,0.22842402585039845,108.00000000000003,0.0
794,hungry_wolves,0.168,0.03703703703703707,2.0,0.084,0.4395,0.33181818181818173,7.0,0.06278571428571429,401.9840549000008,2724.0,6000.0,1328.0,0.1475712389500737,376.7142857142857,0.0
795,gamaspacestation,0.264,-0.648,2.0,0.132,7.9369999999999985,0.5135710321917502,34.0,0.23344117647058818,207.9621558799996,1183.0,9999.0,843.0,0.17579218586644094,2334.1783235294115,0.0
796,eggtomatonscollection,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.124589999999995,111.0,1118.0,399.0,0.055176486486486445,0.0,0.0
797,waveblocks,0.0,-1.0,0.0,0.0,2.9,0.0,2.0,1.45,190.23112950617286,285.0,666.0,284.0,0.6674776473900802,965.6999999999999,0.0
798,wobblebug,0.0,-1.0,0.0,0.0,9.717200000000004,2.7408823403728655,43.0,0.2259813953488373,56.50285879899997,437.0,1250.0,723.0,0.12929715972311207,282.47674418604663,0.0
799,thegoatsociety,0.29790000000000005,-0.2662561576354679,3.0,0.09930000000000001,4.3618000000000015,0.24901208407307757,45.0,0.09692888888888893,1091.909248976834,7361.0,7806.0,3223.0,0.14833708042070834,756.626906666667,0.0
800,duskbreakers,6.105,-0.49598355445111336,19.0,0.3213157894736842,61.42299999999998,-0.7456581595642346,173.0,0.35504624277456637,3130.3281867649794,12904.0,10000.0,2873.0,0.24258587932152662,3550.4624277456637,0.0
801,ronin_by_bushidos,0.0,-1.0,0.0,0.0,0.4060000000000001,1.9656683710737766,7.0,0.05800000000000001,34.34608999999999,237.0,2000.0,889.0,0.1449202109704641,116.00000000000003,0.0
802,world_of_freight,0.266,0.0,3.0,0.08866666666666667,0.336,0.23257565391623405,4.0,0.084,28.12328989999999,375.0,3809.0,733.0,0.07499543973333331,319.956,0.0
803,chimpclubofficial,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,10.98745899999998,272.0,1878.0,669.0,0.040395069852941105,0.0,0.0
804,thegoobers,0.07,-0.8708248754382727,1.0,0.07,2.5074999999999994,-0.3739232478589799,34.0,0.07374999999999998,912.1350059165596,7045.0,14561.0,4581.0,0.1294726764963179,1073.8737499999997,0.0
805,house_of_warlords,0.05,-0.6774193548387096,1.0,0.05,0.8320000000000003,0.54159718362053,28.0,0.029714285714285724,69.16883273251517,1145.0,3703.0,914.0,0.06040946090175998,110.03200000000004,0.0
806,lightcultcryptoclub,0.025,-0.9408843698273823,1.0,0.025,3.811979999999998,0.5456897250831234,48.0,0.07941624999999995,95.47778231761043,1285.0,8372.0,1559.0,0.07430177612265404,664.8728449999996,0.0
807,lookatmyraccoon,0.0,-1.0,0.0,0.0,0.37970000000000004,0.0,5.0,0.07594000000000001,10.118529505429992,311.0,4460.0,662.0,0.032535464647684864,338.6924,0.0
808,3ntity_8pirit_g3neration,0.0,0.0,0.0,0.0,0.04700000000000001,-0.5387634936211971,5.0,0.0094,39.26246800000005,654.0,2442.0,863.0,0.06003435474006123,22.954800000000002,0.0
